id,smarts,ni_ids
121,[#6:1]-[#8:2].[#6:3]1-[#6:4]-[#8:5]-1.[#6:6]=[#8:7]>>[#6:1]-[#6:6]-[#8:7].[#6:3]=[#6:4].[#8:2]=[#8:5],['rule0423']
122,[#6:1]1=[#6:2]-[#7:3]-[#6:4]=[#6:5]-[#6:6]-1.[#7:7]=[#6:8]:[#6:9]=[#7:10]>>[#6:1]1:[#6:6]:[#6:5]:[#6:4]:[#7+:3]:[#6:2]:1.[#7:10]-[#6:9]:[#6:8]-[#7:7],['rule1013']
123,([#6:1]-[#6:2]-[#6:3]-[#6:4]=[#6:5].[#6:6]=[#6:7].[#6:8]-[#8:9])>>[#6:1]-[#6:4]1-[#6:5]-[#6:2](-[#6:8])-[#6:3]-1-[#6:6]-[#6:7].[#8:9],['rule0666']
124,[#6:1]-[#16+:2].[#7:3]>>[#16+0:2].[#6:1]-[#7:3],"['rule0034', 'rule0206']"
125,[#6:1].[#8:2]-[#15:3]>>[#6:1]-[#15:3].[#8:2],['rule0551']
126,[#6:1]1:[#6:2]:[#6:3]:[#6:4]:[#7+:5]:[#6:6]:1.[#6:7]=[#8:8].[#7:9].[#8:10]-[#6:11]:[#6:12]-[#8:13]>>[#6:1]1=[#6:6]-[#7+0:5]-[#6:4]=[#6:3]-[#6:2]-1.[#7:9]-[#6:11]:[#6:12]-[#6:7]-[#8:8].[#8:10]=[#8:13],['rule1002']
127,[#6:1]=[#6:2].[#8:3]=[#8:4]>>[#6:1]=[#8:3].[#6:2]=[#8:4],['rule0118']
128,[#6:1]=[#16:2].[#8:3]>>[#16:2].[#6:1]=[#8:3],['rule1181']
129,[#6:1]1:[#6:2]:[#6:3]:[#6:4]:[#7+:5]:[#6:6]:1.[#6:7]=[#8:8].[#8:9].[#8:10]>>[#6:7]-[#8:10].[#6:1]1=[#6:6]-[#7+0:5]-[#6:4]=[#6:3]-[#6:2]-1.[#8:8]=[#8:9],['rule0490']
130,[#6:1]-[#6:2]-[#8:3].[#8:4].[#8:5]=[#6:6]1-[#6:7]:[#6:8]-[#6:9](=[#8:10])-[#6:11]2-[#8:12]-[#6:13]-1-2>>[#6:1].[#6:2]=[#8:3].[#8:10]-[#6:9]1:[#6:11]:[#6:13]:[#6:6](-[#8:5]):[#6:7]:[#6:8]:1.[#8:12]=[#8:4],['rule1106']
131,([#6:1]=[#6:2].[#6:3]=[#6:4].[#6:5]=[#6:6]).[#8:7]>>[#6:1]-[#6:2]-[#6:3]-[#6:4]-[#6:5]-[#6:6]-[#8:7],['rule1127']
132,[#6:1]-[#7+:2].[#8:3]>>[#6:1]-[#8:3].[#7+0:2],"['rule0311', 'rule0519', 'rule0717', 'rule1217']"
133,[#6:1]-[#16+:2].[#6:3]=[#6:4]>>[#16+0:2].[#6:3]-[#6:4]=[#6:1],['rule0546']
134,([#6:1].[#6:2]-[#7:3])>>([#7:3].[#6:1]-[#6:2]),['rule0154']
